text,author
他本当到床上躺一会儿，可是他不肯，他不能教外婆看出他已筋疲力尽，而招她伤心,LS
兼这四小时的课，他并不为那点很微薄的报酬，而是愿和校内的意国与其他国籍的神父们学习一点拉丁文和法文,LS
最后，她决定什么也不说，而在屋中躺着，装作身体又不大舒服,LS
赤包儿是一种小瓜，红了以后，北平的儿童拿着它玩,LS
常常一连三五天没有肉卖,LS
可是，只要老人有这么个报仇的心思，也就够可敬的了,LS
现在，她开始看她自己了，不再教褂子露着肉，或袜子带着窟窿,LS
“根据这点道理，他怀疑南京是否还继续作战,LS
他不希望中国富强起来，谁知道一个富强了的中国将是什么样子呢？同时，他也不喜欢日本人用武力侵略中国，因为日本人占据了中国，不单他自己会失去最可爱的北平，恐怕所有的在中国的英国人与英国势力都要同归于尽,LS
过了一会儿，她教长顺把饺子送过去,LS
钱太太不动了，呆呆的看着他,LS
东阳立在那里，脸慢慢的变绿，他妒，他恨！他后悔没早几天下手，把瑞丰送到监牢里去！现在，他只好和瑞丰言归于好，瑞丰已是科长！他恨瑞丰，而不便惹恼科长！酒拿到，大家碰了杯,LS
“祁先生，“他鞠了个短，硬，而十分恭敬的躬，“我特意的请了半天的假，来给先生道喜！“,LS
她始终没有说什么，而只把处长太太与汽车印在了心上,LS
在他等候日本人的时候，他往往要必恭必敬的站立半点钟或三刻钟，可是并没感到过焦躁，因为等候日本人的时间越长，他越觉得有滋味，象作祷告似的，越长越见虔诚,LS
慢慢的，杏子的核儿已变硬，而皮还是绿的，小贩们又接二连三的喊：“一大碟，好大的杏儿喽！“这个呼声，每每教小儿女们口中馋出酸水，而老人们只好摸一摸已经活动了的牙齿，惨笑一下,LS
他看出来，他的命运已被日本人决定,LS
三个妇女前后脚走进屋里去,LS
这是小崔吗？假若他不准知道小崔被杀了头，他一定不认识这个尸身,LS
走到三号的影壁跟前，他颓然站住，仿佛猛地苏醒过来,LS
常二爷每次来访，总是祁家全家人最兴奋的一天,LS
这样，每逢他回来，他与大家就特别显出亲热，每每使大家转怒为喜，改沉默为欢笑，假若大家正在犯一点小别扭或吵了几句嘴的话,LS
每天早晨，他依旧到几家他作过多少年生意的铺户里去,LS
真的，祁家的人是越来越少了，可是唯其如此，她才更应当设法讨老人家的欢喜；她须用她“一以当十“的热诚与活跃减少老人的伤心,LS
韵梅和婆母都在门外听着,LS
小老鼠把他领到后门,LS
他们没有北平人那样文雅，聪明，能说会道，可是他们，他们，负起抗战的全部责任；中国是他们的,LS
他的口很臭，因为身子虚，肝火旺，而又不大喜欢刷牙,LS
你的美丽是由你自己吸取水分，日光，而提供给世界的,LS
